provincia_ciudad;superficie;altura;habitantes;densidad;promedio;mediana;percentil25;percentil75;percentil10;percentil90
Capital Federal_Versalles;1.5;18;14178;9452;119700;115000;110750;124500;101200;134000
Capital Federal_Villa Crespo;3.8;18;89859;23647;147600;152500;106500;180000;94400;198100
Capital Federal_Villa del Parque;3.6;18;58573;16270;118500;116000;115000;119500;107900;129400
Capital Federal_Villa Devoto;6.6;18;71013;10759;143700;132000;116250;165000;88500;212500
Capital Federal_Villa General Mitre;2.2;18;36090;16404;96300;93000;81000;101500;78500;126000
Capital Federal_Villa Lugano;9.2;18;114253;12418;133100;112500;100500;155000;97600;199200
Capital Federal_Villa Luro;2.6;18;33058;12890;128700;119000;99750;143000;91100;183500
Capital Federal_Villa Ortuzar;1.8;18;22591;18825;118800;122500;107500;133250;94000;136000
Capital Federal_Villa Pueyrredon;3.7;18;40235;10874;128300;134000;99500;154000;88000;159100
Capital Federal_Villa Real;1.5;18;14278;9518.67;122400;120000;104000;143500;98500;150300
Capital Federal_Villa Riachuelo;4.4;18;14960;3400;89000;79000;79000;95000;72000;120000
Capital Federal_Villa Santa Rita;2.3;18;33850;14652;100800;90000;86000;108750;83100;132000
Capital Federal_Villa Soldati;8.7;18;41228;4738;60600;54500;51000;55750;48800;87400
Capital Federal_Villa Urquiza;5.6;18;85587;15957;121800;112000;100000;128750;95000;175300
Corrientes_Corrientes;90;62;352646;3918.29;90700;90000;88000;90000;72000;106700
Chaco_Resistencia;562;50;290723;519.07;97000;85000;79750;113500;77700;122000
Chubut_Escalante;14015;447;186583;13.31;165900;165000;150000;186750;130000;192000
Chubut_Puerto Madryn;330;17;115353;304.2;86500;85000;75000;88750;69500;107500
Chubut_Trelew;264.63;11;109425;6200;60700;60000;55500;65000;54500;70000
Entre Rios_Colan;70.13;57;29835;936.51;61800;58000;55750;65000;45000;84100
Entre Rios_Concordia;3.26;21;152282;63.8;98500;97500;87500;116250;59000;135500
Entre Rios_Gualeguaychu;70.13;15;81569;936.51;113400;107500;97750;121250;95300;151000
Entre Rios_Parana;137;77;247863;1809.22;91000;92500;86000;100000;77500;106400
Jujuy_San Salvador de Jujuy;19;1259;265249;12871.56;90300;85000;73500;110000;69500;115000
Mendoza_Carrodilla;17.14;894;23886;1393.6;75600;75000;67500;80750;65000;83300
Mendoza_Chacras de Coria;13.5;902;12428;920.6;137500;117500;115000;150000;115000;182000
Mendoza_Godoy Cruz;75;730;191299;2550.6;82100;77000;66750;85250;64400;119100
Mendoza_Las Heras;131.77;725;230507;1616.97;110200;99000;95750;126000;78500;134200
Mendoza_Lujan de Cuyo;11;958;27594;2508.5;81200;79000;75250;83750;74800;91000
Mendoza_Maipu;617;715;191403;310.21;99900;85000;70000;118750;69900;135500
Mendoza_Malargue;131.77;1416;27660;1616.97;128000;130000;120000;140000;90000;144000
Mendoza_Mendoza;57;769;1115041;2018.3;88900;88000;80000;104500;65000;110500
Misiones_Posadas;324;124;275988;286;98100;90000;67250;121000;67000;148000
Neuquen_Anelo;7303;396;2689;0.37;73800;70000;68000;75000;68000;88000
Neuquen_Confluencia;7352;812;362673;49.3;87500;86500;81250;97500;78200;100500
Neuquen_Lacar;4930;2310;29748;6.03;131700;132500;115000;143000;114300;155500
Neuquen_Neuquen;128;270;231198;1807;126700;132500;98750;145250;70000;180000
Neuquen_Plottier;142.6;260;55000;227.1;93000;92500;81250;100000;80000;110000
Neuquen_Rincon de los Sauces;2867.89;974;19398;338.97;133000;130000;122500;143750;119500;150000
Neuquen_San Martin de los Andes;140;640;28599;204;142400;139000;131250;160000;118600;161500
Neuquen_Villa La Angostura;79.6;780;18000;79.02;125800;116000;104000;150000;92200;174400
Neuquen_Zapala;452;1002;35355;71.9;94000;92500;75000;113750;65000;121000
Rio Negro_Allen;128.26;256;27443;214;65700;56000;46750;85000;39800;100000
Rio Negro_Cipolletti;5257.8;270;87343;15;112800;108000;86000;128250;82700;143200
Rio Negro_General Fernandez Oro;1225.07;246;8629;185.69;90200;85000;81250;105000;69200;115500
Rio Negro_General Roca;490;240;81534;184;108800;112500;91000;123750;82600;131000
Rio Negro_Las Grutas;1225.07;20;4487;185.69;118000;120000;100000;125000;95000;150000
Rio Negro_San Carlos de Bariloche;220.3;893;112887;512.42;117300;107000;101000;140000;97500;151200
Rio Negro_Villa Cerro Catedral;29;893;88;3.03;125800;116000;104000;150000;92200;174400
Salta_Acambuco;157;1187;535303;526.4;75900;72000;65000;75000;60000;101500
Salta_Salta;30;1187;535303;15712.97;75900;72000;65000;75000;60000;101500
San Juan_Rivadavia;157;726;82641;526.4;27600;29000;23500;30000;23000;31200
San Juan_San Juan;30;640;471389;15712.97;79800;80000;78000;81000;75000;85000
San Luis_San Francisco del Monte de Oro;157;796;3732;526.4;102800;97500;90000;118750;85000;120800
San Luis_San Luis;30;709;464020;15712.97;102800;97500;90000;118750;85000;120800
Santa Fe_Esperanza;289;38;43000;149.83;32200;32500;30000;34500;27700;38000
Santa Fe_Granadero Baigorria;12;3;43000;3082.83;53400;55000;49250;61500;35000;65300
Santa Fe_Rafaela;156;90;391571;595.8;61800;67000;50000;74000;43000;75000
Santa Fe_Roldan;114;27;14299;125.43;86400;92000;80000;95000;65000;100000
Santa Fe_Rosario;178.69;25;948312;5726;56300;53000;48750;66500;44900;69100
Santa Fe_San Lorenzo;32;40;46239;1178.41;124600;110000;87750;170750;85800;182200
Santa Fe_Santa Fe;268;25;391164;1513.74;104300;101500;96250;108000;76500;124000
Santa Fe_Santo Tomas;79;19;66133;831.44;39600;35000;34250;35000;33900;60000
Santa Fe_Villa Constitucion;103;42;47903;459.94;45000;41000;38500;49500;37900;59100
Tucuman_Yerba Buena;160;465;75076;469.2;100800;100000;91250;107500;78500;121200
