provincia_ciudad;superficie;altura;habitantes;densidad;promedio;mediana;percentil25;percentil75;percentil10;percentil90
Capital Federal_Villa PueyrredÃ³n;3.7;18;40235;10874;128.3;134;99.5;154;88;159.1
Capital Federal_Villa Real;1.5;18;14278;9518.67;122.4;120;104;143.5;98.5;150.3
Capital Federal_Villa Riachuelo;4.4;18;14960;3400;89;79;79;95;72;120
Capital Federal_Villa Santa Rita;2.3;18;33850;14652;100.8;90;86;108.75;83.1;132
Capital Federal_Villa Soldati;8.7;18;41228;4738;60.6;54.5;51;55.75;48.8;87.4
Capital Federal_Villa Urquiza;5.6;18;85587;15957;121.8;112;100;128.75;95;175.3
Corrientes_Corrientes;90;62;352646;3918.29;90.7;90;88;90;72;106.7
Chaco_Resistencia;562;50;290723;519.07;97;85;79.75;113.5;77.7;122
Chubut_Escalante;14015;447;186583;13.31;165.9;165;150;186.75;130;192
Chubut_Puerto Madryn;330;17;115353;304.2;86.5;85;75;88.75;69.5;107.5
Chubut_Trelew;264.63;11;109425;6200;60.7;60;55.5;65;54.5;70
Entre RÃ­os_ColÃ³n;70.13;57;29835;936.51;61.8;58;55.75;65;45;84.1
Entre RÃ­os_Concordia;3.26;21;152282;63.8;98.5;97.5;87.5;116.25;59;135.5
Entre RÃ­os_GualeguaychÃº;70.13;15;81569;936.51;113.4;107.5;97.75;121.25;95.3;151
Entre RÃ­os_ParanÃ¡;137;77;247863;1809.22;91;92.5;86;100;77.5;106.4
Jujuy_San Salvador de Jujuy;19;1259;265249;12871.56;90.3;85;73.5;110;69.5;115
Mendoza_Carrodilla;17.14;894;23886;1393.6;75.6;75;67.5;80.75;65;83.3
Mendoza_Chacras de Coria;13.5;902;12428;920.6;137.5;117.5;115;150;115;182
Mendoza_Godoy Cruz;75;730;191299;2550.6;82.1;77;66.75;85.25;64.4;119.1
Mendoza_Las Heras;131.77;725;230507;1616.97;110.2;99;95.75;126;78.5;134.2
Mendoza_LujÃ¡n de Cuyo;11;958;27594;2508.5;81.2;79;75.25;83.75;74.8;91
Mendoza_MaipÃº;617;715;191403;310.21;99.9;85;70;118.75;69.9;135.5
Mendoza_MalargÃ¼e;131.77;1416;27660;1616.97;128;130;120;140;90;144
Mendoza_Mendoza;57;769;1115041;2018.3;88.9;88;80;104.5;65;110.5
Misiones_Posadas;324;124;275988;286;98.1;90;67.25;121;67;148
NeuquÃ©n_AÃ±elo;7303;396;2689;0.37;73.8;70;68;75;68;88
NeuquÃ©n_Confluencia;7352;812;362673;49.3;87.5;86.5;81.25;97.5;78.2;100.5
NeuquÃ©n_LÃ¡car;4930;2310;29748;6.03;131.7;132.5;115;143;114.3;155.5
NeuquÃ©n_NeuquÃ©n;128;270;231198;1807;126.7;132.5;98.75;145.25;70;180
NeuquÃ©n_Plottier;142.6;260;55000;227.1;93;92.5;81.25;100;80;110
NeuquÃ©n_RincÃ³n de los Sauces;2867.89;974;19398;338.97;133;130;122.5;143.75;119.5;150
NeuquÃ©n_San MartÃ­n de los Andes;140;640;28599;204;142.4;139;131.25;160;118.6;161.5
NeuquÃ©n_Villa La Angostura;79.6;780;18000;79.02;125.8;116;104;150;92.2;174.4
NeuquÃ©n_Zapala;452;1002;35355;71.9;94;92.5;75;113.75;65;121
RÃ­o Negro_Allen;128.26;256;27443;214;65.7;56;46.75;85;39.8;100
RÃ­o Negro_Cipolletti;5257.8;270;87343;15;112.8;108;86;128.25;82.7;143.2
RÃ­o Negro_General FernÃ¡ndez Oro;1225.07;246;8629;185.69;90.2;85;81.25;105;69.2;115.5
RÃ­o Negro_General Roca;490;240;81534;184;108.8;112.5;91;123.75;82.6;131
RÃ­o Negro_Las Grutas;1225.07;20;4487;185.69;118;120;100;125;95;150
RÃ­o Negro_San Carlos de Bariloche;220.3;893;112887;512.42;117.3;107;101;140;97.5;151.2
RÃ­o Negro_Villa Cerro Catedral;29;893;88;3.03;125.8;116;104;150;92.2;174.4
Salta_Acambuco;157;1187;535303;526.4;75.9;72;65;75;60;101.5
Salta_Salta;30;1187;535303;15712.97;75.9;72;65;75;60;101.5
San Juan_Rivadavia;157;726;82641;526.4;27.6;29;23.5;30;23;31.2
San Juan_San Juan;30;640;471389;15712.97;79.8;80;78;81;75;85
San Luis_San Francisco del Monte de Oro;157;796;3732;526.4;102.8;97.5;90;118.75;85;120.8
San Luis_San Luis;30;709;464020;15712.97;102.8;97.5;90;118.75;85;120.8
Santa Fe_Esperanza;289;38;43000;149.83;32.2;32.5;30;34.5;27.7;38
Santa Fe_Granadero Baigorria;12;3;43000;3082.83;53.4;55;49.25;61.5;35;65.3
Santa Fe_Rafaela;156;90;391571;595.8;61.8;67;50;74;43;75
Santa Fe_RoldÃ¡n;114;27;14299;125.43;86.4;92;80;95;65;100
Santa Fe_Rosario;178.69;25;948312;5726;56.3;53;48.75;66.5;44.9;69.1
Santa Fe_San Lorenzo;32;40;46239;1178.41;124.6;110;87.75;170.75;85.8;182.2
Santa Fe_Santa Fe;268;25;391164;1513.74;104.3;101.5;96.25;108;76.5;124
Santa Fe_Santo TomÃ©;79;19;66133;831.44;39.6;35;34.25;35;33.9;60
Santa Fe_Villa ConstituciÃ³n;103;42;47903;459.94;45;41;38.5;49.5;37.9;59.1
TucumÃ¡n_Yerba Buena;160;465;75076;469.2;100.8;100;91.25;107.5;78.5;121.2
